year,recipient,sec_01_arms_transfer_tiv,sec_01_arms_transfer_tiv_delivered,sec_01_arms_transfer_orders_ct,sec_01_missing_transfer_tiv,sec_02_surveillance_usd,sec_02_surveillance_ct,sec_03_military_engagement_ct,sec_04_joint_exercise_ct,dev_02_infrastructure_usd,dev_02_infrastructure_ct,civ_02_healthcare_usd,civ_02_healthcare_ct,civ_03_outbound_visits_ct,civ_03_inbound_visits_ct,civ_03_total_visits_ct,civ_04_csps_ct,civ_05_judicial_engagement_ct,civ_06_ci_ct,civ_06_cc_ct,civ_06_ci_cc_ct,lat,lon
2007,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,3,NA,52180151.67761096,5,4086982.559549277,5,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2007,Malaysia,NA,NA,NA,NA,NA,NA,1,NA,1610276676.1972153,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
2007,Mongolia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,46.8250388,103.8499736
2007,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,40.3736611,127.0870417
2007,Pakistan,NA,NA,NA,NA,NA,NA,2,1,15600615.475314388,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
2007,Russia,NA,NA,NA,NA,NA,NA,4,1,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,64.6863136,97.7453061
2007,South Korea,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,36.638392,127.6961188
2007,Viet Nam,NA,NA,NA,NA,NA,NA,3,NA,1497583475.8594084,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15.9266657,107.9650855
2008,Brunei Darussalam,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.4137155,114.5653908
2008,India,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0,1,NA,NA,NA,0,NA,NA,NA,NA,22.3511148,78.6677428
2008,Japan,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.5748441,139.2394179
2008,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,1,NA,698995715.3082623,8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2008,Mongolia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,46.8250388,103.8499736
2008,Nepal,NA,NA,NA,NA,NA,NA,3,NA,0,1,34111.234212256124,2,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2008,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,40.3736611,127.0870417
2008,Philippines,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.5904492,120.9803621
2008,Russia,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,64.6863136,97.7453061
2008,South Korea,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.638392,127.6961188
2008,Tajikistan,NA,NA,NA,NA,NA,NA,1,NA,511668513.18384194,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,38.6281733,70.8156541
2008,Viet Nam,NA,NA,NA,NA,NA,NA,3,NA,1597529974.9602108,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15.9266657,107.9650855
2009,Brunei Darussalam,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.4137155,114.5653908
2009,India,NA,NA,NA,NA,NA,NA,2,NA,82334992.5577764,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,22.3511148,78.6677428
2009,Japan,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,36.5748441,139.2394179
2009,Kazakhstan,NA,NA,NA,NA,NA,NA,2,NA,7608425434.726744,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,48.1012954,66.7780818
2009,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,1,NA,619881931.6202514,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,41.5089324,74.724091
2009,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,1,NA,733308724.1461375,13,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2009,Malaysia,NA,NA,NA,NA,NA,NA,4,NA,585032129.7722651,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
2009,Mongolia,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,46.8250388,103.8499736
2009,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,2,NA,39108311.74447438,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,40.3736611,127.0870417
2009,Philippines,NA,NA,NA,NA,NA,NA,2,NA,84015298.52834328,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,14.5904492,120.9803621
2009,Russia,NA,NA,NA,NA,NA,NA,4,3,42753537084.50616,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,64.6863136,97.7453061
2009,South Korea,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.638392,127.6961188
2009,Tajikistan,NA,NA,NA,NA,NA,NA,1,NA,207993040.10367027,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,38.6281733,70.8156541
2009,Viet Nam,NA,NA,NA,NA,NA,NA,6,NA,1060292443.5142285,15,0,1,NA,NA,NA,0,NA,NA,NA,NA,15.9266657,107.9650855
2010,Afghanistan,NA,NA,NA,NA,NA,NA,2,NA,28664696.433517277,2,3626102.1566252494,2,0,1,1,0,NA,0,1,1,33.7680065,66.2385139
2010,India,NA,NA,NA,NA,NA,NA,1,NA,6807122280.597399,10,NA,NA,1,1,2,0,NA,1,1,2,22.3511148,78.6677428
2010,Indonesia,NA,NA,NA,NA,NA,NA,4,NA,126202083.96763338,2,NA,NA,0,1,1,0,NA,0,1,1,-2.4833826,117.8902853
2010,Japan,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,0,1,0,NA,1,0,1,36.5748441,139.2394179
2010,Kazakhstan,NA,NA,NA,NA,NA,NA,3,NA,1296297948.9021153,4,NA,NA,1,1,2,0,NA,1,1,2,48.1012954,66.7780818
2010,Malaysia,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,1,NA,0,0,0,4.5693754,102.2656823
2010,Mongolia,NA,NA,NA,NA,NA,NA,2,NA,241206786.7619621,3,0,1,1,2,3,0,NA,1,2,3,46.8250388,103.8499736
2010,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,2,NA,576256893.1544503,6,NA,NA,0,2,2,0,NA,0,2,2,40.3736611,127.0870417
2010,Philippines,NA,NA,NA,NA,NA,NA,3,NA,949787535.6378955,2,NA,NA,0,1,1,0,NA,0,1,1,14.5904492,120.9803621
2010,Russia,NA,NA,NA,NA,NA,NA,3,NA,1827632093.1621423,4,NA,NA,2,1,3,0,NA,2,1,3,64.6863136,97.7453061
2010,Viet Nam,NA,NA,NA,NA,NA,NA,5,NA,1689921004.0208223,4,7331.961071628167,1,1,1,2,0,NA,1,1,2,15.9266657,107.9650855
2011,India,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,22.3511148,78.6677428
2011,Japan,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,2,0,NA,1,1,2,36.5748441,139.2394179
2011,Kazakhstan,NA,NA,NA,NA,NA,NA,3,NA,4120312448.6767907,5,NA,NA,1,1,2,0,NA,1,1,2,48.1012954,66.7780818
2011,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,2,NA,310140413.9469817,7,NA,NA,0,2,2,0,NA,0,2,2,41.5089324,74.724091
2011,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,3,NA,863396797.9512975,9,170266.5927323013,3,0,1,1,0,NA,0,1,1,20.0171109,103.378253
2011,Malaysia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,0,NA,1,1,2,4.5693754,102.2656823
2011,Nepal,NA,NA,NA,NA,NA,NA,3,NA,311641598.97715473,7,NA,NA,0,0,0,0,NA,0,0,0,28.3780464,83.9999901
2011,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,212833.24091537693,2,0,1,1,0,NA,0,1,1,40.3736611,127.0870417
2011,Philippines,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,14.5904492,120.9803621
2011,Russia,NA,NA,NA,NA,NA,NA,5,NA,0,2,NA,NA,2,2,4,0,NA,2,2,4,64.6863136,97.7453061
2011,South Korea,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,36.638392,127.6961188
2011,Viet Nam,NA,NA,NA,NA,NA,NA,4,NA,4714115405.930103,7,6879.36480239687,1,0,0,0,0,NA,0,0,0,15.9266657,107.9650855
2012,Brunei Darussalam,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,4.4137155,114.5653908
2012,India,NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,1,0,1,0,NA,1,0,1,22.3511148,78.6677428
2012,Indonesia,NA,NA,NA,NA,NA,NA,3,1,1030657831.060534,7,NA,NA,1,1,2,0,NA,1,1,2,-2.4833826,117.8902853
2012,Japan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,1,1,NA,0,1,1,36.5748441,139.2394179
2012,Kazakhstan,NA,NA,NA,NA,NA,NA,2,NA,12118210277.859238,9,NA,NA,0,3,3,0,NA,0,3,3,48.1012954,66.7780818
2012,Malaysia,NA,NA,NA,NA,NA,NA,1,NA,229862106.91174132,1,NA,NA,0,1,1,0,NA,0,1,1,4.5693754,102.2656823
2012,Mongolia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,46.8250388,103.8499736
2012,Russia,NA,NA,NA,NA,NA,NA,3,1,1878301787.9073708,3,NA,NA,2,1,3,1,NA,2,1,3,64.6863136,97.7453061
2012,South Korea,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,2,2,0,NA,0,2,2,36.638392,127.6961188
2012,Tajikistan,NA,NA,NA,NA,NA,NA,2,NA,527437537.89890707,5,NA,NA,0,2,2,0,NA,0,2,2,38.6281733,70.8156541
2012,Viet Nam,NA,NA,NA,NA,NA,NA,1,NA,1579077843.6005778,4,NA,NA,0,1,1,0,NA,0,1,1,15.9266657,107.9650855
2013,Brunei Darussalam,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,2,0,NA,1,1,2,4.4137155,114.5653908
2013,India,NA,NA,NA,NA,NA,NA,5,1,420655078.12247086,2,NA,NA,1,1,2,0,NA,1,1,2,22.3511148,78.6677428
2013,Kazakhstan,NA,NA,NA,NA,NA,NA,2,NA,1003343251.6758119,5,NA,NA,1,1,2,0,NA,1,1,2,48.1012954,66.7780818
2013,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,2,1,1370453005.5858994,5,NA,NA,1,2,3,0,NA,1,2,3,41.5089324,74.724091
2013,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,1,NA,1037447082.3729473,9,252387.9991135013,2,0,2,2,0,NA,0,2,2,20.0171109,103.378253
2013,Malaysia,NA,NA,NA,NA,NA,NA,3,NA,214529799.24647507,3,NA,NA,1,0,1,0,NA,1,0,1,4.5693754,102.2656823
2013,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,40.3736611,127.0870417
2013,Philippines,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,14.5904492,120.9803621
2013,Russia,NA,NA,NA,NA,NA,NA,4,5,1620522769.1880038,4,NA,NA,2,1,3,0,NA,2,1,3,64.6863136,97.7453061
2013,South Korea,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,36.638392,127.6961188
2013,Viet Nam,NA,NA,NA,NA,NA,NA,3,NA,308848339.56032,7,NA,NA,1,2,3,0,NA,1,2,3,15.9266657,107.9650855
2014,Brunei Darussalam,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,1,0,1,0,1,1,4.4137155,114.5653908
2014,India,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,0,1,0,1,1,0,1,22.3511148,78.6677428
2014,Japan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,36.5748441,139.2394179
2014,Kazakhstan,NA,NA,NA,NA,NA,NA,3,NA,1238512837.8192055,1,NA,NA,1,2,3,0,1,1,2,3,48.1012954,66.7780818
2014,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,1,NA,10552924.212941602,2,NA,NA,0,2,2,1,1,0,2,2,41.5089324,74.724091
2014,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,3,NA,3012872870.465133,14,NA,NA,0,3,3,0,1,0,3,3,20.0171109,103.378253
2014,Malaysia,NA,NA,NA,NA,NA,NA,1,1,8050333.445824891,1,NA,NA,0,3,3,2,1,0,3,3,4.5693754,102.2656823
2014,Mongolia,NA,NA,NA,NA,NA,NA,2,NA,389064305.71484715,4,63671434.32597539,2,1,2,3,0,NA,1,2,3,46.8250388,103.8499736
2014,Russia,NA,NA,NA,NA,NA,NA,3,5,619256418.9096073,2,NA,NA,2,2,4,0,2,2,2,4,64.6863136,97.7453061
2014,South Korea,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,0,1,1,NA,1,0,1,36.638392,127.6961188
2014,Tajikistan,NA,NA,NA,NA,NA,NA,3,NA,1277335428.4171414,11,NA,NA,1,2,3,0,1,1,2,3,38.6281733,70.8156541
2014,Viet Nam,NA,NA,NA,NA,NA,NA,3,NA,2853533578.335462,3,NA,NA,0,1,1,0,1,0,1,1,15.9266657,107.9650855
2015,Afghanistan,NA,NA,NA,NA,NA,NA,1,NA,0,3,NA,NA,0,1,1,0,NA,0,1,1,33.7680065,66.2385139
2015,India,NA,NA,NA,NA,NA,NA,4,1,0,2,NA,NA,0,1,1,1,1,0,1,1,22.3511148,78.6677428
2015,Japan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,36.5748441,139.2394179
2015,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,1,NA,412099043.10069346,4,NA,NA,0,2,2,0,1,0,2,2,41.5089324,74.724091
2015,Malaysia,NA,NA,NA,NA,NA,NA,5,1,1543549363.0809286,6,NA,NA,1,1,2,0,NA,1,1,2,4.5693754,102.2656823
2015,South Korea,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,2,1,3,1,NA,2,1,3,36.638392,127.6961188
2015,Tajikistan,NA,NA,NA,NA,NA,NA,1,NA,650346490.9157776,2,NA,NA,0,3,3,0,1,0,3,3,38.6281733,70.8156541
2015,Viet Nam,NA,NA,NA,NA,NA,NA,2,NA,1829243887.6435857,4,NA,NA,1,2,3,0,NA,1,2,3,15.9266657,107.9650855
2016,Afghanistan,NA,NA,NA,NA,NA,NA,4,NA,147104475.47557676,3,NA,NA,0,1,1,0,NA,0,1,1,33.7680065,66.2385139
2016,Brunei Darussalam,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,4.4137155,114.5653908
2016,India,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,1,2,3,0,1,1,2,3,22.3511148,78.6677428
2016,Japan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,1,9,NA,0,1,1,36.5748441,139.2394179
2016,Kazakhstan,NA,NA,NA,NA,NA,NA,1,NA,3038235060.9542794,2,NA,NA,1,1,2,0,2,1,1,2,48.1012954,66.7780818
2016,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,1,NA,97307622.6287768,1,NA,NA,1,1,2,0,1,1,1,2,41.5089324,74.724091
2016,Malaysia,NA,NA,NA,NA,NA,NA,4,1,956249667.2878934,1,NA,NA,0,1,1,3,NA,0,1,1,4.5693754,102.2656823
2016,Nepal,NA,NA,NA,NA,NA,NA,2,NA,296850829.0269801,6,19250655.802512195,4,0,1,1,0,NA,0,1,1,28.3780464,83.9999901
2016,Pakistan,NA,NA,NA,NA,NA,NA,7,5,7622126273.242974,19,47709559.61370057,1,0,0,0,0,NA,0,0,0,30.3308401,71.247499
2016,Russia,NA,NA,NA,NA,NA,NA,5,4,27449545229.174377,8,NA,NA,1,2,3,2,2,1,2,3,64.6863136,97.7453061
2016,Russia,NA,NA,NA,NA,NA,NA,5,4,27449545229.174377,8,NA,NA,1,2,3,2,2,1,2,3,64.6863136,97.7453061
2016,South Korea,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,2,2,2,2,0,2,2,36.638392,127.6961188
2016,Tajikistan,NA,NA,NA,NA,NA,NA,4,1,515566507.8202333,8,NA,NA,0,1,1,0,1,0,1,1,38.6281733,70.8156541
2016,Viet Nam,NA,NA,NA,NA,NA,NA,6,NA,5784909419.410345,9,NA,NA,0,1,1,0,1,0,1,1,15.9266657,107.9650855
2017,Brunei Darussalam,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,4.4137155,114.5653908
2017,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,2,NA,251699116.1495565,3,0,1,0,2,2,0,1,0,2,2,41.5089324,74.724091
2017,Nepal,NA,NA,NA,NA,NA,NA,2,1,238724542.99191892,5,0,3,0,1,1,0,1,0,1,1,28.3780464,83.9999901
2017,Philippines,NA,NA,NA,NA,NA,NA,3,NA,312299184.31256557,12,9538561.14333724,2,1,1,2,1,NA,1,1,2,14.5904492,120.9803621
2017,Russia,NA,NA,NA,NA,NA,NA,3,5,0,2,NA,NA,2,3,5,0,2,2,3,5,64.6863136,97.7453061
2017,South Korea,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,1,1,NA,0,1,1,36.638392,127.6961188
2017,Viet Nam,NA,NA,NA,NA,NA,NA,5,1,1882055441.99265,6,NA,NA,1,2,3,0,1,1,2,3,15.9266657,107.9650855
2018,India,NA,NA,NA,NA,NA,NA,4,1,106937.92767895081,1,NA,NA,0,2,2,1,2,0,2,2,22.3511148,78.6677428
2018,Indonesia,NA,NA,NA,NA,NA,NA,1,1,2428324375.5845428,12,NA,NA,1,0,1,0,NA,1,0,1,-2.4833826,117.8902853
2018,Japan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,0,NA,1,1,2,36.5748441,139.2394179
2018,Kazakhstan,NA,NA,NA,NA,NA,NA,2,NA,886631959.5390399,1,35334.56942010355,1,0,2,2,0,1,0,2,2,48.1012954,66.7780818
2018,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,2,NA,106900290.49080072,3,NA,NA,0,1,1,0,1,0,1,1,41.5089324,74.724091
2018,Malaysia,NA,NA,NA,NA,NA,NA,1,1,19118820442.91739,8,NA,NA,0,1,1,0,NA,0,1,1,4.5693754,102.2656823
2018,Mongolia,NA,NA,NA,NA,NA,NA,2,1,424785568.2046428,7,61145354.97697297,3,0,2,2,0,1,0,2,2,46.8250388,103.8499736
2018,Nepal,NA,NA,NA,NA,NA,NA,2,1,307611431.0840397,9,0,3,0,1,1,0,NA,0,1,1,28.3780464,83.9999901
2018,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,0,3,3,0,NA,0,3,3,40.3736611,127.0870417
2018,Russia,NA,NA,NA,NA,NA,NA,9,2,2212120980.100209,1,NA,NA,1,2,3,0,1,1,2,3,64.6863136,97.7453061
2018,Russia,NA,NA,NA,NA,NA,NA,9,2,2212120980.100209,1,NA,NA,1,2,3,0,2,1,2,3,64.6863136,97.7453061
2018,South Korea,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,36.638392,127.6961188
2018,Viet Nam,NA,NA,NA,NA,NA,NA,3,1,2039755446.8633342,3,NA,NA,0,1,1,0,NA,0,1,1,15.9266657,107.9650855
2019,Brunei Darussalam,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,4.4137155,114.5653908
2019,India,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,0,1,0,2,1,0,1,22.3511148,78.6677428
2019,Indonesia,NA,NA,NA,NA,NA,NA,2,NA,2022207654.027381,6,NA,NA,0,0,0,0,NA,0,0,0,-2.4833826,117.8902853
2019,Japan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,0,NA,1,1,2,36.5748441,139.2394179
2019,Kazakhstan,NA,NA,NA,NA,NA,NA,2,1,2193733937.2545543,5,NA,NA,0,2,2,0,1,0,2,2,48.1012954,66.7780818
2019,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,3,1,20830237.600730754,2,NA,NA,1,1,2,0,1,1,1,2,41.5089324,74.724091
2019,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,2,2,4489462837.033839,8,91521.25483625123,4,0,2,2,0,1,0,2,2,20.0171109,103.378253
2019,Malaysia,NA,NA,NA,NA,NA,NA,2,1,12927579578.627542,8,NA,NA,0,1,1,0,NA,0,1,1,4.5693754,102.2656823
2019,Mongolia,NA,NA,NA,NA,NA,NA,2,1,184911342.48260403,5,4621823.369230678,3,0,1,1,0,NA,0,1,1,46.8250388,103.8499736
2019,Nepal,NA,NA,NA,NA,NA,NA,1,1,80361153.02151872,3,0,1,1,1,2,0,NA,1,1,2,28.3780464,83.9999901
2019,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,0,1,1,1,2,0,NA,1,1,2,40.3736611,127.0870417
2019,Russia,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,2,1,3,0,3,2,1,3,64.6863136,97.7453061
2019,South Korea,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,2,2,0,NA,0,2,2,36.638392,127.6961188
2019,Viet Nam,NA,NA,NA,NA,NA,NA,3,NA,2368069712.2085433,8,NA,NA,0,1,1,0,NA,0,1,1,15.9266657,107.9650855
2020,Brunei Darussalam,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,285403.49899188866,8,NA,NA,NA,0,NA,NA,NA,NA,4.4137155,114.5653908
2020,India,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,22.3511148,78.6677428
2020,Indonesia,NA,NA,NA,NA,NA,NA,2,NA,756663222.5028743,5,4471453.849343101,4,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2020,Japan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.5748441,139.2394179
2020,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,1,NA,63045279.289671734,5,1421060.9339811178,15,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2020,Malaysia,NA,NA,NA,NA,NA,NA,2,NA,11899.152424300484,1,8602406.057802215,65,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
2020,Nepal,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2845736.220952598,14,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2020,Philippines,NA,NA,NA,NA,NA,NA,2,1,7357589.242770157,1,7731577.348743421,21,NA,NA,NA,0,NA,NA,NA,NA,14.5904492,120.9803621
2020,Russia,NA,NA,NA,NA,NA,NA,2,3,4827269790.298646,3,439866.1389692159,20,NA,NA,NA,0,1,NA,NA,NA,64.6863136,97.7453061
2020,South Korea,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.638392,127.6961188
2020,Viet Nam,NA,NA,NA,NA,NA,NA,2,NA,353031490.6779433,3,237481.10425176838,5,NA,NA,NA,0,NA,NA,NA,NA,15.9266657,107.9650855
2021,Indonesia,NA,NA,NA,NA,NA,NA,1,1,768177347.8371139,6,84959063.32078792,7,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2021,Japan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.5748441,139.2394179
2021,Malaysia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,70767373.37491335,9,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
2021,Mongolia,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,8054675.134815125,5,NA,NA,NA,0,1,NA,NA,NA,46.8250388,103.8499736
2021,Russia,NA,NA,NA,NA,NA,NA,4,5,9555055797.18264,7,3490.359225086554,4,NA,NA,NA,0,1,NA,NA,NA,64.6863136,97.7453061
2021,Tajikistan,NA,NA,NA,NA,NA,NA,1,NA,161128191.21970716,2,70411632.02207628,6,NA,NA,NA,0,2,NA,NA,NA,38.6281733,70.8156541
2021,Viet Nam,NA,NA,NA,NA,NA,NA,2,1,45307547.633335076,1,80436133.92701007,9,NA,NA,NA,0,1,NA,NA,NA,15.9266657,107.9650855
2022,Indonesia,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-2.4833826,117.8902853
2022,Kazakhstan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,48.1012954,66.7780818
2022,Mongolia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8250388,103.8499736
2022,Pakistan,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,30.3308401,71.247499
2022,South Korea,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,36.638392,127.6961188
2022,Viet Nam,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,15.9266657,107.9650855
2023,Brunei Darussalam,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4137155,114.5653908
2023,India,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,22.3511148,78.6677428
2023,India,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,22.3511148,78.6677428
2023,Japan,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5748441,139.2394179
